sale_id,agent_id,product_id,sale_amount,timestamp,branch_id,team_id
Sdef4dc,A8089b0,P104,6721.16,2025-02-01 03:52:06.471135,B106,T51c14f
Se417c3,Af4a0a5,P102,4197.44,2025-01-17 00:52:06.471135,B100,T43fe72
S14f84d,A1cdd49,P101,9429.89,2025-01-31 11:52:06.471135,B108,Taca0a3
Sc4778f,A6deb32,P108,6714.8,2025-01-06 08:52:06.471135,B102,T560871
S9d324b,A36a3b0,P106,5160.34,2025-01-27 18:52:06.471135,B101,Tfe9c98
Sa82844,A039264,P101,6012.55,2025-03-19 11:52:06.471135,B103,T3954bc
S7d9955,A1cdd49,P101,3061.43,2025-02-06 14:52:06.471135,B108,Taca0a3
Sbf3b48,Ad2722f,P108,3409.67,2025-02-06 01:52:06.471135,B105,T4ef091
S9c92b7,A2dd334,P104,3832.1,2025-03-10 11:52:06.471135,B100,T43fe72
Sb7ebed,Af2ad56,P104,5129.67,2025-02-16 09:52:06.471135,B101,T53f16f
Sd4e62c,Af4a0a5,P102,7704.9,2025-01-13 20:52:06.471135,B100,T43fe72
S5dc558,A9ace53,P105,9080.41,2025-03-12 02:52:06.471135,B104,Tc17519
S5d6d63,A7c5aa6,P108,9975.93,2025-02-11 20:52:06.471135,B105,T4ef091
S63247f,A2813d0,P107,1818.18,2025-03-03 04:52:06.471135,B105,Tc64e08
Sc2ae8c,A9ace53,P101,6647.01,2025-01-10 17:52:06.471135,B104,Tc17519
S400864,Ad1cf2d,P101,4462.91,2025-03-13 15:52:06.471135,B105,T4ef091
S56920e,A32ac50,P103,9739.71,2025-03-04 21:52:06.471135,B104,T0c1ead
S6c151b,A36a3b0,P104,2030.97,2025-03-25 12:52:06.471135,B101,Tfe9c98
Sfd3357,A32ac50,P103,2003.97,2025-03-19 23:52:06.471135,B104,T0c1ead
Sbfa7d9,A9ace53,P105,1029.21,2025-01-17 03:52:06.471135,B104,Tc17519
S630543,Ae09f19,P104,7857.66,2025-01-30 05:52:06.471135,B100,Tcd992c
S7d730b,Aa54975,P102,8575.02,2025-03-17 22:52:06.471135,B105,T4ef091
Sf4f760,Aa86f65,P109,2375.55,2025-03-14 19:52:06.471135,B109,T6b2b55
S88daf8,Ad78b11,P103,9266.44,2025-03-07 05:52:06.471135,B100,T43fe72
Sb9f901,A697fde,P105,2006.81,2025-02-27 13:52:06.471135,B103,T07a9d3
Sf8bcd9,Af4a0a5,P102,1521.33,2025-02-04 20:52:06.471135,B100,T43fe72
S91c6e3,Ad935af,P100,7587.17,2025-01-06 15:52:06.471135,B108,Tdeaf0d
Sf5962b,A4a1537,P105,2155.52,2025-03-05 17:52:06.471135,B109,Ta0b22b
Sa01a02,A9ace53,P105,3385.51,2025-03-07 18:52:06.471135,B104,Tc17519
S49317e,A5fcf24,P102,7797.39,2025-01-24 06:52:06.471135,B109,Ta0b22b
S790df5,A36a3b0,P106,3805.45,2025-01-22 11:52:06.471135,B101,Tfe9c98
S3797d3,A7c5aa6,P108,5063.38,2025-02-22 05:52:06.471135,B105,T4ef091
S385754,Aa9cc74,P100,4042.77,2025-01-24 15:52:06.471135,B104,T0c1ead
S0757a5,A36a3b0,P106,6295.96,2025-03-07 20:52:06.471135,B101,Tfe9c98
Sd57810,A5a869d,P109,6679.93,2025-01-06 11:52:06.471135,B108,Taca0a3
Se2f816,Ac1c311,P100,8736.72,2025-01-04 14:52:06.471135,B102,T560871
Secc8e6,A4a1537,P105,3506.3,2025-03-02 20:52:06.471135,B109,Ta0b22b
Sd8d7ba,A992c40,P105,2190.81,2025-01-24 06:52:06.471135,B106,T9316d4
S7d5711,A85ae7e,P102,8267.47,2025-01-28 04:52:06.471135,B102,T74bf2a
S1916ec,A505270,P106,6930.84,2025-01-08 16:52:06.471135,B102,T560871
S7c1f1c,Ad50369,P107,5203.22,2025-02-20 02:52:06.471135,B106,T9316d4
S9cbfc1,Ae09f19,P104,6881.1,2025-01-03 10:52:06.471135,B100,Tcd992c
S04c518,A7c5aa6,P102,7553.92,2025-01-04 01:52:06.471135,B105,T4ef091
Sf950c1,A039264,P106,2711.88,2025-01-27 19:52:06.471135,B103,T3954bc
Sf8c259,Ad78b11,P100,2651.39,2025-01-14 02:52:06.471135,B100,T43fe72
S54463c,Ae136ae,P102,4988.18,2025-01-27 15:52:06.471135,B106,T51c14f
Sff0b65,Af07b98,P108,6869.3,2025-01-08 14:52:06.471135,B105,Tc64e08
Sd00df9,Aecf2c7,P106,9337.3,2024-12-28 15:52:06.471135,B106,T9316d4
S50c8f7,A8089b0,P105,5370.77,2025-01-18 02:52:06.471135,B106,T51c14f
Sc960a4,A9f9ea4,P105,2481.73,2025-02-16 14:52:06.471135,B109,T6b2b55
S99809a,Af07b98,P106,9338.66,2025-02-14 21:52:06.471135,B105,Tc64e08
S62feea,A4edf2f,P100,7269.32,2025-02-02 02:52:06.471135,B100,Tcd992c
Sc13dc9,Ad935af,P100,5380.04,2025-03-22 11:52:06.471135,B108,Tdeaf0d
S244c02,Ad935af,P101,9718.38,2025-02-02 19:52:06.471135,B108,Tdeaf0d
S0b4e76,Aee0f1c,P101,7731.78,2025-03-06 14:52:06.471135,B108,Tdeaf0d
S4ee856,Abd4eb1,P109,5291.1,2025-01-03 07:52:06.471135,B108,Tdeaf0d
Sc8ef03,Ae136ae,P101,9647.01,2025-01-16 14:52:06.471135,B106,T51c14f
Se2575b,Af07b98,P106,6355.32,2025-01-19 15:52:06.471135,B105,Tc64e08
S3a577a,A5a869d,P109,9474.37,2025-02-16 16:52:06.471135,B108,Taca0a3
S6932fb,A6e30e4,P101,1357.67,2025-03-12 08:52:06.471135,B108,Tdeaf0d
Sef4720,Ad2722f,P108,6253.05,2025-02-19 10:52:06.471135,B105,T4ef091
S9d9c7f,Ae2c296,P107,2838.33,2025-02-05 21:52:06.471135,B102,T74bf2a
S6f0325,Aee0f1c,P105,4562.07,2025-01-26 21:52:06.471135,B108,Tdeaf0d
S17accf,Ad2722f,P100,5115.02,2025-03-19 22:52:06.471135,B105,T4ef091
S816898,Ac1c311,P100,6590.43,2024-12-29 03:52:06.471135,B102,T560871
Sa93b4c,Abaa830,P107,5838.71,2025-01-08 15:52:06.471135,B102,T560871
S0449b3,A2dd334,P107,8927.78,2025-01-13 00:52:06.471135,B100,T43fe72
